,,,,,,,,,,Steps,Population,Births,Deaths,Marriages,Laborers,,,Migrants
18,371,0,0,1,161,24,93,76,,510,385,32.93333333,17.23333333,7.666666667,139.7333333,40.86666667,92.2,89.86666667
18,371,0,0,0,160,25,92,77,,516,385.0666667,33.3,17.53333333,7.966666667,138.5333333,41.43333333,92.26666667,89.96666667
18,370,0,1,0,159,25,92,77,,522,385.1333333,33.53333333,17.66666667,8.066666667,138.1666667,41.36666667,92.3,90.2
18,371,0,0,0,160,25,92,77,,528,385.3,33.83333333,17.8,8.233333333,137.8,41.36666667,92.43333333,90.46666667
18,370,0,1,1,160,24,92,76,,534,385.5,34.16666667,17.93333333,8.4,137.5333333,41.3,92.56666667,90.6
18,370,0,1,1,159,24,93,77,,540,385.7666667,34.63333333,18.1,8.566666667,137.2333333,41.16666667,92.63333333,90.73333333
24,371,0,0,0,161,25,92,76,,546,385.7,34.8,18.33333333,8.733333333,136.8666667,41.16666667,92.73333333,90.86666667
24,370,0,1,0,160,25,92,76,,552,385.7666667,35.06666667,18.5,8.9,136.7333333,41.06666667,92.8,90.86666667
24,370,0,1,0,160,25,92,76,,558,385.9666667,35.46666667,18.7,9.1,136.4333333,40.93333333,92.86666667,90.96666667
24,371,0,0,0,159,25,92,78,,564,386.2333333,35.8,18.76666667,9.233333333,136.2333333,40.86666667,93,91.1
24,371,0,0,1,162,26,93,75,,570,386.3333333,36.03333333,18.9,9.6,136.1333333,40.7,93.3,91.06666667
24,370,0,1,0,159,26,91,77,,576,386.4,36.26666667,19.06666667,9.7,135.9333333,40.63333333,93.3,91.13333333
24,371,0,0,0,161,26,92,76,,582,386.5666667,36.7,19.33333333,9.866666667,135.5333333,40.53333333,93.4,91.3
24,370,0,0,0,159,25,92,78,,588,386.5333333,36.93333333,19.6,10,133.3333333,41.93333333,93.4,91.6
24,369,0,1,0,160,26,92,76,,594,386.6,37.2,19.8,10.16666667,133.1666667,41.86666667,93.5,91.6
24,371,0,0,0,159,25,92,78,,600,386.6666667,37.53333333,20.06666667,10.46666667,132.7333333,41.73333333,93.63333333,91.8
24,369,0,2,0,160,26,92,75,,606,386.8,37.93333333,20.33333333,10.66666667,132.4666667,41.63333333,93.73333333,91.8
24,370,0,1,0,160,25,92,76,,612,387.1333333,38.43333333,20.5,10.96666667,132.2,41.53333333,93.93333333,91.86666667
24,370,0,1,0,159,25,91,77,,618,386.9666667,38.63333333,20.86666667,11.16666667,131.6,41.4,93.96666667,92.03333333
24,371,0,0,0,161,25,92,76,,624,387.0666667,39.1,21.16666667,11.36666667,131.2666667,41.33333333,94.06666667,92.06666667
24,369,0,2,0,158,25,92,77,,630,387.2,39.53333333,21.43333333,11.53333333,130.8666667,41.26666667,94.16666667,92.23333333
24,371,0,0,1,160,24,93,77,,636,387.4,39.9,21.6,11.66666667,130.4333333,41.06666667,94.23333333,92.5
24,371,0,0,0,162,26,92,75,,642,387.6666667,40.2,21.63333333,11.73333333,130.4666667,41.06666667,94.26666667,92.43333333
24,370,0,0,0,159,25,92,78,,648,387.6,40.36666667,21.86666667,11.93333333,130.0666667,41.03333333,94.36666667,92.6
24,371,0,0,0,161,27,92,76,,654,388,40.86666667,21.96666667,12.1,129.9666667,40.9,94.5,92.56666667
24,371,0,0,0,161,25,92,76,,660,388.2,41.26666667,22.16666667,12.2,127.4333333,40.86666667,94.5,92.63333333
24,371,0,0,0,160,25,92,77,,666,388.3,41.63333333,22.43333333,12.4,127.1,40.7,94.53333333,92.7
24,371,0,0,0,162,26,92,75,,672,388.8,42.23333333,22.53333333,12.63333333,126.8666667,40.63333333,94.73333333,92.8
24,370,0,1,0,161,26,92,75,,678,388.8333333,42.5,22.76666667,12.76666667,126.6333333,40.5,94.86666667,92.8
24,371,0,0,0,161,25,92,76,,684,388.9333333,42.9,23.06666667,12.8,126.1666667,40.43333333,94.73333333,93
24,371,0,0,1,162,25,93,75,,690,389.1666667,43.3,23.23333333,13.1,125.9333333,40.26666667,94.9,93.1
24,371,0,0,0,160,25,92,77,,696,389.2,43.63333333,23.53333333,13.26666667,125.6333333,40.16666667,94.93333333,93.13333333
24,369,0,2,0,156,25,92,79,,702,389.1666667,43.9,23.83333333,13.4,125.2,40.03333333,94.83333333,93.26666667
24,371,0,0,0,160,25,92,77,,708,389.2666667,44.23333333,24.06666667,13.53333333,125.0666667,40.06666667,94.8,93.16666667
24,370,0,1,1,160,24,92,76,,714,389.2,44.56666667,24.46666667,13.73333333,124.5666667,39.9,94.86666667,93.23333333
24,370,0,1,1,159,24,93,77,,720,389.3333333,44.96666667,24.73333333,13.96666667,124.2333333,39.76666667,94.96666667,93.3
30,371,1,0,0,160,25,92,77,,726,389.4333333,45.3,24.96666667,14,124,39.83333333,94.83333333,93.3
30,370,0,1,0,160,25,92,76,,732,389.7333333,45.73333333,25.1,14.2,122.6333333,40.5,94.96666667,93.53333333
30,370,0,1,0,159,25,92,77,,738,389.9333333,46.2,25.36666667,14.4,122.3333333,40.5,95.03333333,93.63333333
30,371,0,0,0,159,25,92,78,,744,390.0666667,46.63333333,25.63333333,14.56666667,122.1,40.46666667,95.1,93.63333333
30,371,0,0,1,163,27,93,74,,750,390.2666667,46.93333333,25.73333333,14.93333333,122.0666667,40.23333333,95.4,93.56666667
30,369,0,2,0,157,26,90,78,,756,390.2,47.23333333,26.06666667,15.06666667,121.7666667,40.16666667,95.4,93.53333333
30,371,0,0,1,161,25,93,76,,762,390.3333333,47.6,26.3,15.2,121.5333333,40.13333333,95.43333333,93.53333333
30,370,0,0,0,159,25,92,78,,768,390.6,48.1,26.53333333,15.3,121.1333333,40.13333333,95.46666667,93.7
30,369,0,1,0,160,26,92,76,,774,390.8333333,48.6,26.8,15.4,120.7666667,40.13333333,95.46666667,93.76666667
30,371,0,0,0,159,25,92,78,,780,391.1333333,49.06666667,26.96666667,15.53333333,120.5333333,40.1,95.43333333,93.8
