Steps,Total # Non-GTGP Parcels,Total # GTGP Parcels,Avg # Non-GTGP Parcels,Avg GTGP Parcels,Avg Non-GTGP Area,Avg GTGP Area,Avg Household Income
786,542,210,5.76595744680851,2.234042553191489,3.5707446808510643,1.524255319148936,18793.992573277377,
792,544,208,5.787234042553192,2.2127659574468086,3.578191489361702,1.5125531914893622,18544.265115157432,
798,547,205,5.819148936170213,2.1808510638297873,3.5934042553191485,1.5072340425531918,18674.182626605212,
804,549,203,5.840425531914893,2.1595744680851063,3.608297872340425,1.485957446808511,18064.590837460968,
810,550,202,5.851063829787234,2.148936170212766,3.6146808510638295,1.4827659574468088,17629.18074982535,
816,550,202,5.851063829787234,2.148936170212766,3.6146808510638295,1.4827659574468088,18075.352429512986,
822,552,200,5.872340425531915,2.127659574468085,3.6274468085106375,1.467872340425532,19481.591131587305,
828,552,200,5.872340425531915,2.127659574468085,3.6274468085106375,1.467872340425532,18708.944905791872,
834,553,199,5.882978723404255,2.117021276595745,3.6309574468085093,1.467872340425532,19409.287484566612,
840,554,198,5.8936170212765955,2.106382978723404,3.6341489361702117,1.467872340425532,19948.447935442982,
846,555,197,5.904255319148936,2.095744680851064,3.6426595744680843,1.462553191489362,18751.03478383745,
852,555,197,5.904255319148936,2.095744680851064,3.6426595744680843,1.462553191489362,18185.916138169043,
858,557,195,5.925531914893617,2.074468085106383,3.654361702127659,1.4523404255319148,17427.15479088251,
864,557,195,5.925531914893617,2.074468085106383,3.654361702127659,1.4523404255319148,17038.51230610764,
870,557,195,5.925531914893617,2.074468085106383,3.654361702127659,1.4523404255319148,17077.68777852261,
876,558,194,5.9361702127659575,2.0638297872340425,3.664999999999999,1.4363829787234041,17447.22384451911,
882,559,193,5.946808510638298,2.0531914893617023,3.67563829787234,1.4321276595744679,17814.839834321858,
888,560,192,5.957446808510638,2.0425531914893615,3.68095744680851,1.43,18366.230283703277,
894,562,190,5.9787234042553195,2.021276595744681,3.7043617021276587,1.4225531914893617,18144.71094299234,
900,563,189,5.98936170212766,2.0106382978723403,3.705425531914893,1.4225531914893617,17737.83986120797,
906,563,189,5.98936170212766,2.0106382978723403,3.705425531914893,1.4225531914893617,18051.233239947545,
912,563,189,5.98936170212766,2.0106382978723403,3.705425531914893,1.4225531914893617,18087.73781512111,
918,565,187,6.01063829787234,1.9893617021276595,3.712340425531914,1.4172340425531915,18417.5809857397,
924,566,186,6.0212765957446805,1.9787234042553192,3.7187234042553188,1.4140425531914895,18588.805436224702,
