,,,,,,,,,,,,,,,,,,,,,,Steps,,,,,,,,,,,,,,,,,,,,
6,33,47,49,45,41,28,36,23,4,0,26,46,19,17,30,23,29,22,10,3,,144,35.66666667,45.76666667,47,43,43.96666667,28.96666667,35.56666667,23.23333333,3.933333333,0,29.16666667,43.83333333,19.96666667,18,28,24.93333333,27.86666667,21.63333333,9.6,2.966666667
6,33,47,49,45,41,28,36,23,4,0,26,46,19,17,30,23,29,22,10,3,,150,34.73333333,44.73333333,46,41,45.96666667,31.96666667,33.63333333,23.23333333,5.8,0,27.5,43.86666667,19.93333333,19,25,24.93333333,29.96666667,22.4,10.6,2.966666667
6,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,156,35.13333333,44.73333333,46,41,45.96666667,31.96666667,33.6,23.23333333,5.8,0,27.86666667,43.83333333,19.93333333,19,25,24.93333333,29.93333333,22.36666667,10.6,2.966666667
6,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,162,35.46666667,44.73333333,46,41,45.96666667,31.96666667,33.56666667,23.2,5.8,0,28.1,43.83333333,19.93333333,19,25,24.93333333,29.9,22.33333333,10.6,2.966666667
6,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,168,35.7,44.7,46,41,45.96666667,31.96666667,33.56666667,23.2,5.8,0,28.4,43.83333333,19.93333333,19,25,24.9,29.83333333,22.3,10.56666667,2.933333333
6,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,174,36.03333333,44.7,46,41,45.96666667,31.96666667,33.43333333,23.16666667,5.8,0,28.53333333,43.8,19.9,19,25,24.9,29.8,22.23333333,10.56666667,2.933333333
6,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,180,36.23333333,44.7,46,41,45.96666667,31.96666667,33.36666667,23.13333333,5.8,0,28.73333333,43.8,19.9,19,25,24.9,29.7,22.16666667,10.56666667,2.933333333
12,33,47,49,45,41,28,37,22,4,0,26,46,19,17,30,23,29,22,10,3,,186,36.46666667,44.66666667,46,41,45.96666667,31.96666667,33.33333333,23.1,5.8,0,28.9,43.8,19.9,19,25,24.9,29.7,22.13333333,10.53333333,2.933333333
12,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,192,36.63333333,44.63333333,46,41,45.96666667,31.96666667,33.26666667,23,5.8,0,29.13333333,43.8,19.9,19,25,24.9,29.66666667,22,10.53333333,2.933333333
12,33,47,49,45,41,28,36,23,4,0,26,46,19,17,30,23,29,22,10,3,,198,37,44.63333333,46,41,45.96666667,31.96666667,33.23333333,22.93333333,5.8,0,29.53333333,43.8,19.9,19,25,24.9,29.63333333,21.96666667,10.53333333,2.933333333
12,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,204,37.33333333,44.6,46,41,45.96666667,31.96666667,33.13333333,22.9,5.8,0,29.86666667,43.8,19.9,19,25,24.9,29.56666667,21.9,10.53333333,2.933333333
12,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,210,37.76666667,44.56666667,46,41,45.96666667,31.96666667,33.13333333,22.86666667,5.8,0,29.96666667,43.8,19.9,19,25,24.9,29.43333333,21.86666667,10.53333333,2.933333333
12,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,216,38.1,44.56666667,46,41,45.96666667,31.93333333,33.1,22.83333333,5.766666667,0,30.3,43.76666667,19.9,19,25,24.9,29.36666667,21.86666667,10.53333333,2.933333333
12,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,222,36.33333333,41.73333333,47.83333333,38,50.96666667,29.93333333,34.16666667,22.8,7.566666667,0,30.7,37.96666667,22.73333333,19.96666667,27,23.9,28.43333333,23.73333333,10.53333333,2.933333333
12,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,28,22,10,3,,228,36.6,41.73333333,47.83333333,38,50.96666667,29.93333333,34.16666667,22.66666667,7.566666667,0,31.1,37.96666667,22.73333333,19.96666667,27,23.9,28.43333333,23.7,10.53333333,2.933333333
12,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,234,36.93333333,41.73333333,47.83333333,38,50.96666667,29.93333333,34.16666667,22.66666667,7.566666667,0,31.3,37.96666667,22.73333333,19.96666667,27,23.9,28.4,23.63333333,10.5,2.933333333
