,,,,,,,,,,,,,,,,,,,,,,Steps,,,,,,,,,,,,,,,,,,,,,,,
6,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,72,33.26666667,46.86666667,48.96666667,45,40.96666667,27.96666667,36.23333333,22.63333333,3.933333333,0,26.13333333,45.83333333,19,17,30,23,28.46666667,21.8,9.833333333,2.933333333,,26.13333333,9.011494253
6,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,78,33.36666667,45.86666667,46.96666667,43,43.96666667,28.96666667,36.13333333,23.6,3.933333333,0,26.23333333,43.83333333,19.93333333,18,28,25,28.4,21.76666667,9.833333333,2.933333333,,43.83333333,15.11494253
6,33,47,49,45,41,28,36,23,4,0,26,46,19,17,30,23,29,22,10,3,,84,33.36666667,45.86666667,46.96666667,43,43.96666667,28.96666667,36.06666667,23.53333333,3.933333333,0,26.3,43.83333333,19.93333333,18,28,25,28.4,21.76666667,9.833333333,2.933333333,,19.93333333,6.873563218
6,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,90,33.43333333,45.86666667,46.96666667,43,43.96666667,28.96666667,36.06666667,23.46666667,3.933333333,0,26.4,43.83333333,19.93333333,18,28,25,28.3,21.76666667,9.833333333,2.933333333,,18,6.206896552
6,33,47,49,45,41,28,37,23,3,0,26,46,19,17,30,23,29,22,10,3,,96,33.63333333,45.86666667,46.96666667,43,43.96666667,28.96666667,36.03333333,23.46666667,3.933333333,0,26.53333333,43.83333333,19.93333333,18,28,25,28.26666667,21.7,9.766666667,2.933333333,,28,9.655172414
6,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,102,33.76666667,45.83333333,46.96666667,43,43.96666667,28.96666667,36.03333333,23.46666667,3.933333333,0,26.8,43.83333333,19.93333333,18,28,24.96666667,28.2,21.66666667,9.766666667,2.933333333,,24.96666667,8.609195402
6,33,47,49,45,41,28,36,23,4,0,26,46,19,17,30,23,29,22,10,3,,108,33.86666667,45.8,46.96666667,43,43.96666667,28.96666667,35.93333333,23.43333333,3.933333333,0,26.9,43.83333333,19.93333333,18,28,24.96666667,28.1,21.63333333,9.766666667,2.933333333,,28.1,9.689655172
6,33,47,49,45,41,28,36,23,4,0,26,46,19,17,30,23,29,22,10,3,,114,34,45.76666667,46.96666667,43,43.96666667,28.96666667,35.93333333,23.4,3.933333333,0,26.93333333,43.83333333,19.93333333,18,28,24.96666667,28.06666667,21.63333333,9.766666667,2.933333333,,21.63333333,7.459770115
6,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,120,34.16666667,45.73333333,46.96666667,43,43.96666667,28.96666667,35.9,23.4,3.9,0,27.06666667,43.83333333,19.9,18,28,24.96666667,28,21.63333333,9.733333333,2.9,,9.733333333,3.356321839
6,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,28,22,10,3,,126,34.36666667,45.7,46.96666667,43,43.96666667,28.96666667,35.86666667,23.4,3.9,0,27.2,43.8,19.9,18,28,24.96666667,27.9,21.63333333,9.733333333,2.9,,2.9,
6,33,47,49,45,41,28,37,23,4,0,26,46,19,17,30,23,29,22,10,3,,132,34.53333333,45.7,46.96666667,43,43.96666667,28.96666667,35.8,23.36666667,3.9,0,27.46666667,43.76666667,19.9,18,28,24.96666667,27.9,21.63333333,9.733333333,2.9,,223.2333333,
