Steps,Total # Non-GTGP Parcels,Total # GTGP Parcels,Avg # Non-GTGP Parcels,Avg GTGP Parcels,Avg Non-GTGP Area,Avg GTGP Area
1020,150,227,1.5957446808510638,2.4148936170212765,5.508085106382981,4.342978723404255,
1026,150,227,1.5957446808510638,2.4148936170212765,5.508085106382981,4.342978723404255,
1032,150,227,1.5957446808510638,2.4148936170212765,5.508085106382981,4.342978723404255,
1038,150,227,1.5957446808510638,2.4148936170212765,5.508085106382981,4.342978723404255,
1044,152,225,1.6170212765957446,2.393617021276596,5.587872340425534,4.273829787234042,
1050,152,225,1.6170212765957446,2.393617021276596,5.587872340425534,4.273829787234042,
1056,153,224,1.627659574468085,2.382978723404255,5.617659574468087,4.263191489361701,
1062,155,222,1.648936170212766,2.3617021276595747,5.698510638297873,4.205744680851064,
1068,156,221,1.6595744680851063,2.351063829787234,5.751702127659575,4.152553191489361,
1074,156,221,1.6595744680851063,2.351063829787234,5.751702127659575,4.152553191489361,
1080,157,220,1.6702127659574468,2.3404255319148937,5.791063829787236,4.128085106382979,
1086,157,220,1.6702127659574468,2.3404255319148937,5.791063829787236,4.128085106382979,
1092,157,220,1.6702127659574468,2.3404255319148937,5.791063829787236,4.128085106382979,
1098,157,220,1.6702127659574468,2.3404255319148937,5.791063829787236,4.128085106382979,
1104,159,218,1.6914893617021276,2.3191489361702127,5.838936170212767,4.080212765957447,
1110,159,218,1.6914893617021276,2.3191489361702127,5.838936170212767,4.080212765957447,
1116,159,218,1.6914893617021276,2.3191489361702127,5.838936170212767,4.080212765957447,
1122,160,217,1.702127659574468,2.3085106382978724,5.862340425531917,4.069574468085107,
1128,163,214,1.7340425531914894,2.276595744680851,5.949574468085109,4.002553191489362,
1134,163,214,1.7340425531914894,2.276595744680851,5.949574468085109,4.002553191489362,
1140,164,213,1.7446808510638299,2.265957446808511,6.013404255319151,3.9972340425531914,
1146,164,213,1.7446808510638299,2.265957446808511,6.013404255319151,3.9972340425531914,
1152,165,212,1.7553191489361701,2.25531914893617,6.0602127659574485,3.975957446808511,
1158,166,211,1.7659574468085106,2.24468085106383,6.063404255319152,3.975957446808511,
1164,167,210,1.7765957446808511,2.234042553191489,6.074042553191492,3.9706382978723407,
