x,y
69, 77
69, 76
69, 77
68, 78
68, 77
68, 78
68, 79
67, 79
66, 80
66, 80
31, 7
31, 8
32, 8
31, 9
32, 8
32, 8
36, 61
35, 60
34, 61
34, 60
33, 59
32, 60
32, 61
32, 61
65, 61
65, 62
66, 63
65, 62
66, 63
67, 62
67, 62
22, 62
22, 63
22, 62
21, 61
22, 62
23, 61
23, 61
17, 28
16, 28
17, 27
16, 26
16, 27
15, 27
16, 26
17, 27
17, 28
17, 28
15, 28
14, 28
15, 28
15, 27
14, 28
15, 27
16, 28
15, 29
14, 28
15, 29
15, 29
31, 7
32, 8
31, 7
30, 8
31, 9
32, 8
32, 9
33, 9
33, 9
22, 62
21, 61
22, 61
23, 61
22, 62
22, 63
23, 64
22, 65
21, 64
22, 65
22, 65
65, 80
64, 80
65, 80
64, 81
63, 81
62, 80
62, 80
61, 80
62, 80
62, 81
62, 80
63, 81
62, 80
63, 79
63, 79
32, 7
31, 8
31, 7
31, 8
31, 9
31, 8
30, 8
30, 8
31, 19
31, 20
30, 20
31, 19
30, 19
29, 19
28, 20
27, 19
27, 20
28, 19
28, 19
66, 63
65, 63
64, 63
63, 63
64, 62
65, 61
64, 60
63, 61
63, 61
32, 62
31, 62
31, 61
30, 61
31, 61
31, 62
31, 61
31, 61
62, 61
61, 61
62, 62
61, 63
61, 62
62, 61
61, 60
61, 59
61, 60
61, 60
33, 10
32, 11
33, 10
32, 9
32, 10
33, 10
33, 10
29, 8
29, 7
30, 7
30, 6
31, 7
31, 7
63, 78
64, 78
64, 79
63, 79
62, 78
62, 79
63, 79
63, 79
28, 18
29, 19
30, 18
31, 19
32, 18
32, 17
32, 17
62, 81
63, 80
62, 80
63, 80
63, 81
62, 81
62, 80
63, 81
64, 81
65, 80
65, 80
30, 60
31, 61
31, 60
30, 59
29, 58
29, 57
28, 58
28, 58
14, 28
15, 29
16, 29
15, 29
15, 30
14, 31
14, 31
16, 27
16, 28
16, 29
17, 28
18, 29
18, 30
17, 30
17, 29
17, 28
17, 28
22, 64
23, 64
23, 63
22, 63
21, 64
20, 64
21, 64
21, 64
66, 81
67, 81
68, 82
67, 82
66, 81
65, 82
65, 82
60, 60
59, 61
58, 62
59, 62
59, 61
59, 62
60, 61
59, 62
59, 62
31, 6
30, 5
30, 6
29, 5
29, 6
28, 6
27, 6
27, 5
27, 5
27, 58
27, 57
28, 56
27, 56
26, 55
26, 55
18, 27
19, 28
18, 27
17, 27
16, 26
17, 27
18, 28
19, 29
19, 30
19, 30
15, 31
16, 30
15, 31
16, 32
17, 32
18, 31
19, 31
19, 31
22, 64
23, 64
23, 63
24, 64
23, 63
24, 63
25, 64
25, 64
34, 9
35, 9
35, 10
35, 11
35, 10
35, 11
35, 11
33, 18
33, 17
33, 16
34, 16
35, 17
34, 17
35, 16
34, 17
33, 17
33, 17
62, 78
61, 77
62, 77
62, 78
61, 79
60, 79
60, 79
58, 61
59, 60
59, 59
59, 60
60, 60
59, 61
59, 60
58, 61
59, 61
59, 61
20, 29
19, 28
20, 29
20, 28
20, 27
21, 28
20, 28
20, 27
21, 28
22, 27
22, 27
34, 10
33, 9
34, 8
33, 8
34, 8
35, 8
35, 9
35, 9
26, 4
26, 5
26, 4
25, 5
26, 6
27, 7
27, 6
26, 5
26, 5
33, 16
33, 15
32, 15
32, 16
33, 16
32, 17
32, 18
32, 18
59, 80
60, 80
60, 81
61, 82
62, 81
63, 80
62, 79
62, 78
61, 78
61, 78
25, 55
25, 56
24, 56
23, 55
23, 56
22, 56
23, 57
23, 56
22, 56
21, 57
21, 57
64, 81
63, 80
62, 80
63, 80
64, 79
63, 78
64, 77
64, 77
20, 32
19, 33
20, 32
19, 32
20, 31
21, 31
22, 32
23, 31
22, 31
22, 31
25, 63
25, 62
24, 62
25, 63
24, 64
24, 64
32, 19
33, 20
34, 20
35, 19
36, 18
35, 19
36, 18
37, 19
36, 20
36, 20
61, 79
62, 79
62, 78
63, 79
62, 80
63, 79
64, 79
65, 79
66, 79
66, 78
66, 78
23, 63
24, 62
24, 61
24, 62
23, 62
23, 62
21, 31
22, 30
23, 30
24, 31
24, 32
24, 31
25, 32
25, 33
25, 33
25, 5
26, 4
27, 5
28, 5
29, 4
28, 3
28, 4
28, 3
28, 3
20, 58
21, 57
20, 57
20, 56
19, 57
18, 57
18, 57
36, 8
37, 9
37, 10
38, 10
37, 10
38, 10
37, 11
37, 11
23, 26
22, 26
22, 25
23, 25
23, 26
23, 27
22, 28
21, 27
22, 26
23, 25
23, 25
59, 60
58, 59
59, 58
60, 58
59, 59
58, 59
58, 60
57, 61
58, 60
59, 59
59, 59
65, 77
64, 78
65, 77
64, 76
65, 77
66, 78
66, 78
26, 33
26, 34
25, 33
26, 32
26, 33
27, 34
27, 34
17, 57
16, 56
16, 55
17, 55
16, 54
15, 55
14, 55
14, 55
24, 62
24, 61
24, 60
23, 61
23, 62
23, 61
24, 60
24, 60
24, 24
23, 23
23, 24
22, 25
23, 26
24, 27
24, 27
66, 77
67, 78
67, 79
68, 79
69, 78
69, 79
69, 79
27, 3
28, 3
28, 4
27, 4
26, 5
26, 5
65, 78
66, 78
65, 77
64, 76
63, 77
62, 78
63, 77
63, 77
60, 59
60, 58
59, 58
60, 58
61, 58
60, 59
61, 58
60, 57
60, 57
36, 11
37, 11
37, 10
37, 11
38, 11
37, 12
36, 13
35, 12
35, 13
35, 13
35, 19
36, 18
36, 19
36, 18
37, 19
38, 20
39, 20
39, 19
40, 18
40, 18
61, 58
62, 57
62, 58
61, 57
60, 57
60, 57
36, 14
37, 15
36, 16
37, 15
36, 15
37, 15
36, 15
37, 16
37, 16
13, 55
14, 56
15, 57
16, 58
15, 57
15, 56
15, 55
14, 54
15, 54
15, 54
64, 76
63, 76
63, 77
64, 77
64, 76
63, 75
62, 75
61, 75
62, 75
62, 75
23, 60
24, 60
25, 60
24, 61
24, 62
24, 61
25, 62
24, 63
25, 62
25, 62
39, 19
38, 20
37, 20
37, 19
36, 20
37, 20
37, 20
23, 27
24, 28
23, 29
22, 30
22, 29
23, 30
22, 30
23, 31
22, 31
22, 31
26, 34
26, 35
26, 36
27, 35
27, 36
28, 37
27, 38
28, 37
28, 37
26, 6
27, 7
28, 6
29, 6
30, 7
30, 7
69, 78
68, 79
68, 80
67, 81
66, 81
66, 80
66, 79
65, 79
65, 78
65, 78
15, 53
16, 53
16, 52
16, 51
17, 52
16, 51
17, 51
18, 51
17, 50
17, 50
31, 6
32, 6
31, 7
32, 8
33, 9
34, 10
35, 9
35, 9
37, 15
38, 14
39, 15
39, 14
39, 15
39, 14
38, 13
37, 13
36, 12
35, 12
35, 12
64, 79
65, 78
66, 78
65, 78
65, 77
66, 78
66, 78
61, 75
60, 75
59, 74
59, 75
58, 76
57, 75
56, 75
56, 75
60, 58
60, 59
60, 60
60, 61
60, 62
59, 61
58, 60
58, 61
58, 60
59, 60
59, 60
28, 38
29, 37
30, 38
31, 38
31, 39
30, 39
30, 39
22, 32
23, 32
23, 33
24, 33
25, 32
26, 31
27, 32
28, 33
29, 32
28, 33
28, 33
37, 19
37, 18
37, 19
38, 20
39, 21
39, 21
26, 61
27, 61
28, 62
28, 61
29, 60
29, 60
66, 77
65, 76
64, 77
64, 78
65, 77
66, 77
65, 77
66, 77
67, 77
67, 78
67, 78
27, 34
28, 33
29, 34
28, 33
29, 32
30, 33
31, 32
30, 32
30, 33
30, 32
30, 32
40, 20
40, 19
39, 20
40, 20
40, 19
40, 18
41, 18
41, 18
58, 61
59, 62
60, 61
61, 62
61, 61
60, 60
60, 60
36, 11
37, 12
36, 11
36, 12
35, 11
34, 12
34, 13
33, 14
33, 14
16, 50
15, 49
16, 49
17, 48
18, 49
18, 49
29, 61
30, 62
29, 61
30, 61
29, 60
29, 61
30, 62
31, 63
31, 64
31, 64
57, 76
56, 77
57, 76
57, 75
58, 75
58, 74
59, 75
58, 74
58, 74
34, 9
35, 10
34, 9
33, 8
32, 9
33, 9
33, 8
33, 8
31, 39
32, 38
32, 39
32, 38
32, 37
32, 37
17, 48
18, 49
19, 48
19, 49
19, 48
20, 47
19, 47
18, 46
19, 46
19, 46
61, 59
62, 58
62, 59
61, 58
62, 59
62, 59
32, 13
33, 13
34, 12
33, 11
32, 11
32, 12
31, 13
30, 13
31, 12
32, 11
32, 11
66, 77
67, 77
67, 76
67, 77
68, 77
68, 77
33, 36
33, 35
32, 34
33, 35
32, 36
32, 37
32, 37
31, 33
30, 32
29, 32
29, 31
29, 30
29, 29
29, 30
29, 31
28, 30
29, 29
29, 29
59, 74
60, 73
59, 72
59, 71
58, 71
59, 71
59, 70
59, 70
33, 9
32, 9
33, 9
32, 9
33, 9
34, 10
34, 10
31, 65
30, 65
31, 66
30, 65
30, 66
30, 67
29, 66
28, 67
28, 67
40, 19
40, 18
39, 19
38, 19
38, 18
37, 17
37, 17
59, 69
59, 70
59, 71
60, 72
61, 72
61, 72
29, 30
30, 30
29, 29
30, 30
29, 30
30, 31
29, 32
29, 32
32, 10
31, 9
30, 10
29, 11
28, 11
29, 10
30, 9
29, 10
28, 10
28, 10
20, 46
20, 47
19, 47
20, 46
20, 45
19, 45
20, 46
19, 46
18, 46
19, 45
19, 45
38, 17
39, 16
40, 15
39, 14
40, 15
40, 15
69, 76
69, 75
68, 74
69, 74
68, 73
68, 73
29, 67
28, 66
27, 67
26, 66
26, 65
25, 66
24, 67
24, 67
61, 59
60, 59
61, 59
62, 60
61, 59
62, 58
61, 58
62, 57
63, 58
62, 58
62, 58
34, 9
34, 8
34, 7
33, 8
32, 7
32, 7
31, 36
32, 36
33, 36
32, 35
33, 35
33, 35
68, 72
67, 72
66, 71
65, 70
65, 71
66, 72
66, 72
41, 14
40, 15
41, 16
40, 16
39, 16
40, 15
39, 16
39, 16
28, 31
29, 32
30, 31
31, 31
32, 31
31, 31
32, 31
31, 31
31, 31
61, 58
60, 57
61, 56
62, 56
63, 56
64, 57
65, 57
65, 56
65, 56
32, 36
31, 36
30, 35
31, 34
32, 33
32, 33
25, 66
24, 65
24, 64
24, 63
23, 62
22, 61
21, 62
21, 62
19, 44
18, 44
17, 44
16, 43
16, 44
17, 44
16, 45
16, 45
28, 9
28, 10
27, 10
28, 11
29, 10
29, 10
62, 73
62, 74
62, 75
63, 76
63, 77
64, 78
63, 79
62, 78
62, 78
31, 6
31, 7
31, 8
32, 8
33, 9
33, 9
67, 79
67, 78
68, 78
68, 77
68, 78
69, 78
70, 78
70, 78
66, 73
65, 74
64, 75
63, 75
62, 74
62, 75
62, 75
57, 73
57, 72
57, 73
57, 74
58, 75
58, 74
59, 74
58, 74
59, 75
59, 75
62, 74
61, 74
62, 75
61, 74
60, 75
60, 75
57, 78
58, 77
57, 76
58, 77
58, 76
57, 77
57, 77
54, 76
53, 75
53, 74
52, 75
53, 76
53, 77
52, 78
53, 79
54, 79
54, 79
57, 72
56, 73
55, 74
54, 74
54, 75
54, 74
55, 73
54, 74
55, 75
54, 76
54, 76
64, 74
64, 73
64, 74
65, 74
66, 74
67, 74
66, 74
67, 73
66, 73
66, 73
69, 70
68, 71
67, 71
66, 70
66, 71
66, 70
67, 71
67, 70
67, 69
66, 69
66, 69
59, 77
58, 77
58, 78
58, 77
57, 78
58, 79
57, 80
57, 80
65, 74
64, 75
63, 75
64, 76
63, 77
62, 76
62, 77
61, 76
61, 75
62, 76
62, 76
70, 77
69, 77
68, 76
69, 75
69, 74
69, 74
58, 77
59, 77
59, 76
60, 76
59, 76
59, 76
59, 74
60, 74
61, 74
61, 73
61, 74
61, 73
62, 74
62, 75
63, 75
63, 76
63, 76
57, 79
56, 80
56, 79
55, 80
55, 79
56, 78
57, 77
57, 78
58, 78
58, 78
53, 78
53, 77
52, 77
53, 76
54, 76
54, 77
54, 77
55, 75
54, 74
53, 73
52, 74
51, 74
52, 73
53, 74
53, 74
61, 75
62, 75
62, 76
62, 77
63, 78
63, 78
66, 70
67, 69
67, 70
68, 71
68, 72
69, 73
70, 74
69, 75
69, 76
69, 76
60, 75
61, 74
61, 73
61, 72
60, 72
60, 73
59, 74
59, 74
46, 63
47, 64
46, 63
45, 62
46, 62
45, 61
45, 61
32, 58
32, 59
32, 58
31, 57
30, 57
29, 57
30, 57
31, 56
31, 56
30, 50
31, 49
32, 50
31, 50
31, 51
32, 50
31, 51
31, 51
48, 70
47, 71
48, 71
49, 70
49, 69
50, 70
50, 70
53, 64
52, 63
51, 64
50, 65
51, 66
51, 66
51, 70
50, 70
50, 71
51, 72
50, 71
50, 72
49, 71
49, 72
48, 71
48, 72
48, 72
59, 61
60, 60
61, 60
61, 61
61, 60
60, 61
60, 61
52, 44
52, 43
52, 42
51, 41
52, 41
53, 41
54, 42
54, 41
54, 41
49, 53
49, 54
49, 55
49, 56
50, 57
49, 56
49, 55
50, 54
50, 55
49, 54
49, 54
41, 48
42, 49
41, 48
40, 48
40, 47
41, 47
42, 48
42, 49
41, 48
41, 48
31, 55
30, 56
30, 57
29, 57
29, 58
28, 59
29, 60
29, 61
29, 62
29, 62
59, 62
59, 63
58, 64
58, 63
59, 64
58, 65
57, 65
58, 66
57, 65
56, 66
56, 66
41, 47
41, 48
40, 49
40, 48
39, 49
38, 48
39, 49
39, 50
39, 50
47, 73
46, 74
46, 73
47, 72
46, 71
46, 72
46, 72
52, 65
52, 66
51, 67
52, 67
52, 68
51, 67
51, 67
49, 53
49, 52
49, 51
50, 52
49, 53
49, 53
50, 69
49, 69
50, 68
49, 69
50, 69
50, 69
53, 40
52, 39
52, 38
51, 39
52, 38
53, 37
52, 38
51, 38
52, 38
51, 38
51, 38
46, 62
47, 63
46, 64
46, 65
45, 66
44, 66
44, 65
43, 65
43, 65
32, 50
33, 51
33, 52
33, 53
34, 52
35, 52
35, 52
57, 67
58, 68
57, 69
58, 68
58, 67
57, 68
58, 68
58, 68
52, 38
52, 39
51, 39
51, 40
52, 40
51, 40
52, 41
52, 41
50, 66
51, 66
51, 67
52, 66
53, 67
54, 68
55, 69
55, 69
34, 52
33, 52
34, 52
35, 51
36, 50
36, 49
36, 48
37, 49
37, 50
37, 50
46, 73
45, 72
46, 72
46, 73
45, 74
44, 75
43, 75
44, 76
43, 75
44, 76
44, 76
30, 63
29, 63
30, 64
31, 63
30, 64
29, 64
29, 64
50, 52
50, 53
51, 52
52, 52
52, 53
52, 54
52, 55
53, 54
54, 53
54, 53
44, 64
43, 65
42, 65
43, 65
43, 64
44, 65
45, 65
44, 66
44, 66
38, 49
38, 50
39, 51
39, 52
39, 51
40, 52
40, 51
39, 52
40, 52
40, 52
51, 68
52, 69
51, 68
51, 69
51, 70
52, 71
53, 72
52, 73
52, 73
52, 40
51, 40
51, 41
52, 41
51, 42
52, 41
52, 41
37, 49
36, 48
37, 48
38, 47
38, 48
38, 48
30, 63
29, 64
30, 63
29, 63
28, 62
27, 62
28, 61
27, 61
27, 61
56, 68
56, 67
55, 66
56, 65
56, 64
57, 64
57, 64
45, 75
44, 76
43, 77
43, 78
42, 79
42, 80
43, 79
44, 80
44, 80
58, 67
59, 66
59, 67
58, 66
57, 65
57, 64
56, 64
56, 63
56, 63
51, 73
51, 74
50, 73
50, 72
51, 72
52, 73
53, 74
52, 75
52, 76
53, 75
53, 75
40, 51
39, 50
38, 49
38, 50
38, 49
39, 50
40, 50
40, 49
39, 49
40, 48
40, 48
55, 54
56, 53
55, 54
54, 53
53, 53
53, 52
53, 51
54, 51
55, 50
55, 50
43, 66
44, 66
43, 65
44, 66
45, 66
44, 67
44, 67
55, 62
56, 62
55, 63
55, 62
55, 63
54, 63
53, 64
53, 64
26, 60
26, 61
25, 62
25, 61
26, 62
25, 61
25, 61
52, 76
51, 75
50, 75
50, 76
51, 77
50, 78
51, 78
51, 78
39, 49
39, 48
39, 49
40, 49
40, 50
40, 49
40, 50
41, 50
41, 50
56, 49
57, 49
58, 49
59, 49
58, 49
58, 48
57, 47
56, 48
57, 47
57, 47
43, 79
42, 78
43, 78
44, 79
44, 78
43, 78
44, 79
44, 78
44, 78
52, 42
53, 41
54, 42
54, 43
54, 44
53, 45
54, 44
55, 44
55, 45
55, 45
58, 63
57, 62
58, 62
57, 62
56, 62
57, 63
57, 64
58, 63
59, 63
59, 63
40, 47
41, 48
41, 49
40, 50
41, 49
41, 49
43, 68
44, 69
43, 68
43, 67
44, 66
44, 67
43, 67
43, 67
41, 51
41, 52
40, 51
39, 52
40, 52
40, 52
51, 77
50, 78
49, 79
48, 79
48, 78
49, 77
49, 76
50, 77
51, 77
51, 77
53, 63
52, 63
51, 62
50, 61
49, 61
49, 61
42, 49
42, 50
42, 51
43, 52
43, 53
44, 53
43, 53
42, 53
43, 53
42, 52
42, 52
59, 64
60, 63
61, 62
60, 63
61, 62
61, 63
60, 63
60, 64
59, 65
59, 65
42, 67
41, 67
40, 66
41, 67
41, 68
41, 68
24, 61
24, 62
25, 63
24, 64
23, 65
22, 65
21, 64
22, 65
22, 65
56, 48
55, 49
56, 50
55, 50
54, 50
55, 50
56, 49
57, 49
58, 50
58, 50
56, 46
55, 45
54, 46
54, 47
53, 48
52, 48
52, 48
44, 79
43, 78
42, 78
41, 78
40, 77
41, 78
40, 77
40, 77
22, 64
21, 64
20, 64
21, 64
21, 63
21, 63
51, 48
50, 48
51, 48
52, 49
52, 48
51, 49
51, 48
51, 47
50, 48
49, 47
49, 47
52, 77
52, 78
52, 79
51, 78
50, 77
49, 78
49, 78
48, 60
49, 59
48, 58
47, 59
47, 58
47, 58
40, 67
40, 68
40, 69
40, 70
39, 69
40, 69
40, 68
40, 67
40, 66
40, 66
39, 52
40, 52
41, 52
40, 51
40, 50
40, 51
40, 51
59, 50
58, 50
59, 50
58, 50
57, 49
58, 49
59, 49
58, 48
59, 49
59, 49
58, 65
57, 65
56, 66
55, 67
54, 67
54, 68
55, 67
54, 68
54, 68
39, 76
40, 77
41, 78
40, 77
39, 76
38, 76
38, 76
43, 53
44, 52
45, 53
45, 54
45, 53
45, 53
20, 64
20, 63
21, 62
20, 62
21, 63
22, 62
22, 62
48, 78
48, 77
49, 78
48, 77
47, 78
46, 77
46, 77
44, 53
44, 54
44, 55
43, 56
42, 56
41, 55
40, 56
39, 57
38, 57
39, 56
39, 56
58, 50
57, 49
56, 50
55, 50
54, 51
54, 50
54, 49
53, 50
53, 49
52, 49
52, 49
50, 48
49, 49
48, 49
49, 49
48, 49
48, 49
41, 67
41, 66
40, 67
39, 66
38, 67
39, 67
38, 67
38, 66
38, 66
48, 58
48, 59
49, 60
50, 59
49, 60
48, 59
48, 58
48, 58
38, 75
39, 75
39, 76
39, 75
38, 75
38, 75
53, 68
52, 68
52, 69
53, 70
52, 69
53, 69
53, 70
53, 69
53, 69
41, 51
42, 50
41, 50
40, 50
39, 50
40, 51
40, 51
51, 49
51, 48
52, 47
52, 46
52, 45
51, 45
51, 46
52, 46
53, 45
52, 44
52, 44
52, 70
53, 71
53, 72
54, 71
53, 71
52, 72
52, 73
51, 72
52, 73
52, 73
40, 52
41, 53
42, 54
41, 53
42, 52
43, 53
43, 54
44, 55
43, 55
43, 55
49, 48
48, 49
49, 49
50, 49
51, 48
50, 49
51, 49
51, 49
23, 63
23, 62
23, 63
22, 63
23, 63
22, 62
23, 63
23, 62
22, 61
22, 61
40, 56
40, 57
40, 58
41, 57
41, 56
41, 57
42, 56
42, 56
49, 58
48, 57
48, 58
49, 59
48, 59
48, 60
49, 60
48, 59
47, 59
47, 59
39, 66
40, 66
40, 67
39, 67
38, 66
37, 66
37, 66
39, 76
40, 75
39, 75
38, 76
38, 77
37, 77
38, 77
38, 77
45, 78
44, 77
43, 76
44, 75
45, 74
45, 75
44, 74
44, 75
45, 74
45, 74
38, 65
38, 64
39, 65
38, 65
39, 64
39, 63
40, 64
41, 63
41, 63
48, 60
49, 60
50, 60
50, 61
50, 62
49, 61
48, 60
49, 60
49, 60
51, 72
50, 73
49, 74
48, 73
48, 74
47, 75
47, 76
47, 76
50, 50
49, 50
49, 49
48, 50
48, 49
47, 50
46, 49
46, 50
45, 50
45, 50
44, 75
43, 76
43, 77
44, 76
44, 77
45, 78
45, 78
39, 76
40, 75
41, 74
41, 73
40, 74
40, 73
39, 73
39, 73
44, 54
43, 55
43, 56
43, 57
42, 57
42, 57
52, 43
51, 42
52, 41
52, 42
53, 42
54, 43
53, 43
53, 42
54, 42
53, 42
53, 42
23, 62
22, 62
21, 61
22, 61
21, 62
21, 61
22, 61
22, 60
21, 61
22, 60
22, 60
43, 57
42, 56
43, 55
43, 56
43, 57
42, 56
41, 56
42, 56
42, 56
48, 59
49, 58
48, 58
48, 59
47, 59
47, 58
48, 59
48, 58
48, 58
40, 73
39, 72
39, 73
38, 74
39, 75
39, 74
39, 73
38, 74
38, 73
38, 74
38, 74
47, 75
46, 75
45, 74
44, 75
45, 74
44, 74
44, 74
23, 60
22, 61
23, 62
23, 61
24, 60
23, 61
22, 62
22, 63
22, 62
22, 62
42, 63
43, 63
43, 64
43, 65
44, 66
43, 65
44, 64
44, 64
42, 56
42, 57
42, 56
41, 56
40, 57
39, 56
40, 57
40, 56
40, 56
45, 49
44, 49
44, 48
44, 47
45, 47
45, 48
44, 48
44, 48
42, 57
43, 57
42, 56
41, 56
40, 56
41, 57
40, 57
41, 56
41, 56
54, 43
53, 42
52, 41
52, 40
51, 40
51, 40
45, 79
44, 79
44, 78
45, 78
44, 79
43, 79
44, 79
44, 79
44, 65
44, 64
44, 65
44, 64
44, 65
44, 64
44, 64
43, 75
42, 75
43, 75
42, 74
41, 73
40, 73
41, 73
41, 73
45, 78
46, 78
45, 78
45, 77
46, 76
46, 75
46, 75
37, 73
36, 73
37, 72
38, 73
39, 72
39, 72
47, 58
48, 58
47, 58
47, 57
47, 58
48, 57
47, 58
47, 58
42, 57
43, 56
42, 57
43, 57
42, 56
42, 56
39, 55
38, 54
39, 54
38, 55
37, 55
38, 55
38, 55
44, 49
43, 50
44, 49
44, 48
45, 48
44, 49
44, 49
23, 63
22, 64
21, 63
20, 64
20, 65
21, 65
22, 65
23, 65
24, 65
25, 64
25, 64
52, 39
51, 40
51, 39
50, 40
50, 39
50, 39
44, 48
44, 47
45, 46
46, 46
46, 45
45, 44
45, 44
48, 59
48, 58
49, 59
48, 58
48, 59
47, 59
48, 59
47, 58
47, 58
45, 64
46, 64
46, 63
47, 63
48, 63
49, 64
49, 64
41, 55
40, 56
39, 57
40, 56
41, 55
41, 56
40, 57
39, 56
40, 57
40, 58
40, 58
24, 65
23, 64
24, 63
23, 62
24, 63
23, 62
24, 61
23, 60
23, 60
40, 73
41, 74
42, 73
42, 72
43, 71
43, 70
42, 70
43, 70
43, 70
40, 72
40, 73
39, 74
38, 73
37, 73
38, 72
37, 73
38, 73
39, 72
39, 72
39, 55
38, 55
38, 54
39, 55
40, 55
41, 55
41, 55
50, 38
49, 39
50, 40
51, 40
51, 41
52, 41
52, 40
52, 40
46, 76
45, 76
44, 76
45, 76
44, 77
44, 76
44, 77
44, 77
51, 40
50, 41
51, 41
51, 40
52, 39
52, 39
44, 70
45, 70
44, 71
44, 70
43, 70
44, 70
44, 70
22, 60
23, 61
24, 61
23, 60
23, 61
23, 60
24, 61
23, 61
22, 62
22, 63
22, 63
38, 73
38, 72
37, 73
38, 74
37, 75
36, 75
36, 74
35, 75
34, 74
34, 74
39, 58
39, 57
40, 56
39, 55
39, 54
39, 55
40, 55
40, 55
50, 65
51, 66
51, 65
50, 64
51, 65
50, 65
49, 65
48, 64
49, 65
50, 65
50, 65
46, 45
45, 46
44, 45
45, 45
46, 44
45, 45
44, 46
44, 47
44, 47
44, 76
43, 76
43, 75
43, 76
42, 77
42, 78
42, 79
41, 79
40, 79
40, 79
41, 54
42, 53
43, 52
42, 52
43, 51
42, 51
42, 52
43, 53
43, 52
43, 52
47, 57
47, 56
48, 55
48, 56
49, 57
49, 57
48, 58
49, 57
48, 56
47, 55
46, 54
47, 54
47, 55
48, 56
48, 56
45, 46
44, 47
44, 48
43, 49
44, 48
43, 47
43, 46
43, 47
42, 47
42, 47
49, 65
48, 65
48, 64
48, 63
48, 64
48, 63
47, 63
47, 64
46, 64
46, 63
46, 63
39, 55
40, 54
39, 55
39, 56
40, 57
40, 57
22, 62
21, 62
22, 63
21, 64
22, 65
21, 65
22, 64
21, 64
21, 64
33, 74
34, 75
35, 76
34, 75
34, 74
35, 74
34, 75
34, 75
45, 70
44, 71
43, 72
44, 72
45, 71
44, 71
43, 72
43, 72
44, 52
43, 51
43, 52
44, 53
45, 52
45, 51
46, 50
45, 50
44, 50
44, 50
39, 79
40, 80
41, 79
42, 79
41, 80
41, 80
53, 39
54, 39
55, 40
55, 41
54, 40
55, 40
55, 40
70, 69
69, 68
69, 67
68, 67
68, 66
67, 67
67, 66
66, 67
65, 68
65, 68
66, 77
67, 76
68, 75
69, 75
70, 75
69, 75
70, 74
69, 74
69, 74
57, 72
57, 71
57, 70
56, 69
57, 69
57, 70
58, 71
58, 71
64, 76
64, 75
63, 76
63, 77
64, 78
