HH_ID,Output_nonGTGP_i_A,Output_nonGTGP_ii_A,Output_nonGTGP_iii_A,Output_nonGTGP_iv_A,Output_nonGTGP_v_A,Outpu_before_GTGP_i_A,Outpu_before_GTGP_ii_A,Outpu_before_GTGP_iii_A,Outpu_before_GTGP_iv_A,Outpu_before_GTGP_v_A,Plant_last_nonGTGP_i_A,Plant_last_nonGTGP_ii_A,Plant_last_nonGTGP_iii_A,Plant_last_nonGTGP_iv_A,Plant_last_nonGTGP_v_A,Plant_before_GTGP_i_A,Plant_before_GTGP_ii_A,Plant_before_GTGP_iii_A,Plant_before_GTGP_iv_A,Plant_before_GTGP_v_A,Travel_time_GTGP_i,Travel_time_GTGP_ii,Travel_time_GTGP_iii,Travel_time_GTGP_iv,Travel_time_GTGP_v,Travel_time_nonGTGP_i,Travel_time_nonGTGP_ii,Travel_time_nonGTGP_iii,Travel_time_nonGTGP_iv,Travel_time_nonGTGP_v,Type_nonGTGP_i_A,Type_nonGTGP_ii_A,Type_nonGTGP_iii_A,Type_nonGTGP_iv_A,Type_nonGTGP_v_A,Type_before_GTGP_i_A,Type_before_GTGP_ii_A,Type_before_GTGP_iii_A,Type_before_GTGP_iv_A,Type_before_GTGP_v_A
total: 94,3.15a_i_A,3.15a_ii_A,3.15a_iii_A,3.15a_iv_A,3.15a_v_A,3.10a_i_A,3.10a_ii_A,3.10a_iii_A,3.10a_iv_A,3.10a_v_A,3.14d_i_A,3.14d_ii_A,3.14d_iii_A,3.14d_iv_A,3.14d_v_A,3.9_i_A,3.9_ii_A,3.9_iii_A,3.9_iv_A,3.9_v_A, 3.4_i,3.4_ii,3.4_iii,3.4_iv,3.4_v,3.14c_i,3.14c_ii,3.14c_iii,3.14c_iv,3.14c_v,3.14a_i_A,3.14a_ii_A,3.14a_iii_A,3.14a_iv_A,3.14a_v_A,3.3a_i_A,3.3a_ii_A,3.3a_iii_A,3.3a_iv_A,3.3a_v_A
71,300,-4,-3,-3,-3,600,700,-3,-3,-3,4,2,5,-3,-3,2,2,-3,-3,-3,10,90,-3,-3,-3,15,4,25,-3,-3,2,1,2,-3,-3,-3,1,1,-3,-3
72,360,180,180,-3,-3,-3,-3,-3,-3,-3,4,4,4,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,5,6,12,-3,-3,2,2,2,-3,-3,-3,-3,-3,-3,-3
79,0,-3,-3,-3,-3,250,-3,-3,-3,-3,5,-3,-3,-3,-3,2,-3,-3,-3,-3,15,-3,-3,-3,-3,7,-3,-3,-3,-3,1,-3,-3,-3,-3,1,-3,-3,-3,-3
81,6.5,5,5.3,-3,-3,800,2500,-3,-3,-3,5,5,5,-3,-3,2,3,-3,-3,-3,60,50,-3,-3,-3,30,3,30,-3,-3,2,1,2,-3,-3,1,1,-3,-3,-3
85,0,-3,-3,-3,-3,-3,-3,-3,-3,-3,10,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,15,-3,-3,-3,-3,2,-3,-3,-3,-3,-3,-3,-3,-3,-3
89,-2,-2,-3,-3,-3,350,650,-3,-3,-3,8,8,-3,-3,-3,2,2,-3,-3,-3,20,20,-3,-3,-3,10,5,-3,-3,-3,2,1,-3,-3,-3,1,1,-3,-3,-3
91,-4,-4,-3,-3,-3,1000,-3,-3,-3,-3,5,5,-3,-3,-3,2,-3,-3,-3,-3,-4,-3,-3,-3,-3,15,20,-3,-3,-3,1,2,-3,-3,-3,1,-3,-3,-3,-3
100,1800,4000,0,-3,-3,400,5000,-3,-3,-3,2,4,6,-3,-3,2,2,-3,-3,-3,30,30,-3,-3,-3,6,20,80,-3,-3,1,2,3,-3,-3,1,1,-3,-3,-3
101,0,0,0,-3,-3,200,-3,-3,-3,-3,7,7,7,-3,-3,2,-3,-3,-3,-3,15,-3,-3,-3,-3,15,15,15,-3,-3,2,2,2,-3,-3,1,-3,-3,-3,-3
102,0,0,-3,-3,-3,100,-3,-3,-3,-3,7,7,-3,-3,-3,4,-3,-3,-3,-3,15,-3,-3,-3,-3,15,6,-3,-3,-3,2,2,-3,-3,-3,2,-3,-3,-3,-3
103,0,0,0,100,-3,200,-3,-3,-3,-3,7,7,7,4,-3,2,-3,-3,-3,-3,6,-3,-3,-3,-3,15,6,6,6,-3,2,2,2,2,-3,1,-3,-3,-3,-3
104,0,0,-3,-3,-3,1200,400,-3,-3,-3,7,7,-3,-3,-3,2,2,-3,-3,-3,60,15,-3,-3,-3,15,20,-3,-3,-3,2,2,-3,-3,-3,1,1,-3,-3,-3
108,0,0,-3,-3,-3,500,300,-3,-3,-3,7,7,-3,-3,-3,4,4,-3,-3,-3,62,62,-3,-3,-3,10,8,-3,-3,-3,2,2,-3,-3,-3,2,2,-3,-3,-3
109,-3,-3,-3,-3,-3,200,100,100,-3,-3,5,5,5,-3,-3,4,4,4,-3,-3,40,40,15,-3,-3,15,15,8,-3,-3,1,1,1,-3,-3,2,2,2,-3,-3
113,0,0,0,-3,-3,500,-3,-3,-3,-3,7,7,7,-3,-3,4,-3,-3,-3,-3,15,-3,-3,-3,-3,14,15,15,-3,-3,2,2,2,-3,-3,2,-3,-3,-3,-3
118,0,0,0,-3,-3,300,200,150,-3,-3,7,7,7,-3,-3,4,4,4,-3,-3,15,10,10,-3,-3,15,15,10,-3,-3,1,1,2,-3,-3,2,2,1,-3,-3
120,0,-3,0,-3,-3,-2,-3,-3,-3,-3,7,5,7,-3,-3,5,-3,-3,-3,-3,45,-3,-3,-3,-3,6,5,12,-3,-3,2,2,2,-3,-3,1,-3,-3,-3,-3
121,-4,0,-4,-3,-3,400,150,-3,-3,-3,-4,9,9,-3,-3,4,5,-4,-3,-3,30,60,25,-3,-3,2,20,20,-3,-3,1,2,2,-3,-3,2,1,2,-3,-3
123,800,400,-3,-3,-3,300,300,300,-3,-3,2,4,-3,-3,-3,4,4,4,-3,-3,30,30,30,-3,-3,10,10,-3,-3,-3,1,2,-3,-3,-3,1,1,1,-3,-3
128,0,0,0,-3,-3,100,-3,-3,-3,-3,7,7,7,-3,-3,4,-3,-3,-3,-3,100,-3,-3,-3,-3,20,6,16,-3,-3,2,2,2,-3,-3,2,-3,-3,-3,-3
129,0,0,0,-3,-3,50,0,-3,-3,-3,7,7,7,-3,-3,4,5,-3,-3,-3,30,60,-3,-3,-3,15,20,20,-3,-3,2,2,2,-3,-3,2,1,-3,-3,-3
131,-3,-3,-3,-3,-3,3000,1000,3000,-3,-3,5,5,5,-3,-3,2,3,3,-3,-3,10,10,15,-3,-3,8,5,12,-3,-3,1,1,1,-3,-3,1,1,1,-3,-3
132,-3,-3,-3,-3,-3,1100,300,-3,-3,-3,5,5,-3,-3,-3,4,4,-3,-3,-3,30,25,-3,-3,-3,15,10,-3,-3,-3,2,1,-3,-3,-3,2,2,-3,-3,-3
133,-3,0,0,-3,-3,200,500,-3,-3,-3,11,5,5,-3,-3,4,2,-3,-3,-3,30,15,-3,-3,-3,10,15,10,-3,-3,2,1,1,-3,-3,2,1,-3,-3,-3
134,0,-3,-3,-3,-3,1000,-3,-3,-3,-3,5,-3,-3,-3,-3,2,-3,-3,-3,-3,20,-3,-3,-3,-3,45,-3,-3,-3,-3,2,-3,-3,-3,-3,1,-3,-3,-3,-3
135,-2,0,-3,-3,-3,1000,400,-3,-3,-3,2,5,-3,-3,-3,2,4,-3,-3,-3,10,20,-3,-3,-3,120,120,-3,-3,-3,2,2,-3,-3,-3,1,2,-3,-3,-3
136,-3,500,30,-3,-3,480,-3,-3,-3,-3,5,2,2,-3,-3,4,-3,-3,-3,-3,25,-3,-3,-3,-3,10,2,12,-3,-3,2,2,2,-3,-3,2,-3,-3,-3,-3
137,0,-3,-3,-3,-3,1080,-3,-3,-3,-3,5,-3,-3,-3,-3,2,-3,-3,-3,-3,6,-3,-3,-3,-3,20,-3,-3,-3,-3,2,-3,-3,-3,-3,1,-3,-3,-3,-3
138,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,5,5,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,5,30,-3,-3,-3,1,2,-3,-3,-3,-3,-3,-3,-3,-3
139,600,300,1000,-3,-3,200,-3,-3,-3,-3,2,2,2,-3,-3,2,-3,-3,-3,-3,15,-3,-3,-3,-3,30,1,5,-3,-3,2,2,2,-3,-3,1,-3,-3,-3,-3
140,0,320,-3,-3,-3,400,-3,-3,-3,-3,5,2,-3,-3,-3,4,-3,-3,-3,-3,30,-3,-3,-3,-3,7,3,-3,-3,-3,1,2,-3,-3,-3,2,-3,-3,-3,-3
141,400,-3,-3,-3,-3,600,1000,-3,-3,-3,2,-3,-3,-3,-3,4,2,-3,-3,-3,60,20,-3,-3,-3,5,-3,-3,-3,-3,2,-3,-3,-3,-3,2,1,-3,-3,-3
142,2000,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,5,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,5,5,-3,-3,-3,1,2,-3,-3,-3,-3,-3,-3,-3,-3
143,3000,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,5,-3,-3,-3,-3,1,-3,-3,-3,-3,-3,-3,-3,-3,-3
144,-3,-3,-3,-3,-3,400,350,250,-3,-3,5,-3,-3,-3,-3,1,2,2,-3,-3,10,8,10,-3,-3,15,-3,-3,-3,-3,2,-3,-3,-3,-3,1,1,1,-3,-3
145,-3,-3,-3,-3,-3,300,300,800,-3,-3,5,5,-3,-3,-3,4,4,2,-3,-3,15,70,8,-3,-3,10,2,-3,-3,-3,2,2,-3,-3,-3,2,2,1,-3,-3
146,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,12,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,10,-3,-3,-3,-3,2,-3,-3,-3,-3,-3,-3,-3,-3,-3
148,0,350,250,-3,-3,100,-3,-3,-3,-3,5,2,2,-3,-3,2,-3,-3,-3,-3,30,-3,-3,-3,-3,20,1,5,-3,-3,2,1,1,-3,-3,1,-3,-3,-3,-3
149,0,0,0,-3,-3,800,-3,-3,-3,-3,5,5,5,-3,-3,2,-3,-3,-3,-3,40,-3,-3,-3,-3,40,40,40,-3,-3,2,1,2,-3,-3,1,-3,-3,-3,-3
150,0,0,0,-3,-3,200,15,-3,-3,-3,5,5,5,-3,-3,2,4,-3,-3,-3,60,180,-3,-3,-3,6,20,25,-3,-3,2,2,2,-3,-3,1,2,-3,-3,-3
151,0,650,350,-3,-3,800,400,400,-3,-3,5,4,4,3,-3,2,2,2,-3,-3,20,12,12,-3,-3,12,8,12,-3,-3,2,2,3,-3,-3,1,1,1,-3,-3
153,500,200,600,800,-3,1000,2500,-3,-3,-3,5,5,2,2,-3,4,2,-3,-3,-3,60,20,-3,-3,-3,20,20,15,7,-3,2,2,1,2,-3,2,1,-3,-3,-3
154,0,0,500,-3,-3,300,1000,-3,-3,-3,5,5,2,-3,-3,4,2,-3,-3,-3,120,10,-3,-3,-3,30,30,15,-3,-3,2,2,2,-3,-3,2,1,-3,-3,-3
155,4600,0,0,-3,-3,400,450,-3,-3,-3,2,4,4,-3,-3,2,4,-3,-3,-3,15,16,-3,-3,-3,15,3,2,-3,-3,2,2,2,-3,-3,1,1,-3,-3,-3
157,960,-3,-3,-3,-3,400,200,-3,-3,-3,2,15,-3,-3,-3,4,4,-3,-3,-3,15,30,-3,-3,-3,2,20,-3,-3,-3,2,2,-3,-3,-3,2,2,-3,-3,-3
159,0,700,500,0,-3,700,200,-3,-3,-3,5,2,2,5,-3,4,2,-3,-3,-3,20,10,-3,-3,-3,15,10,10,10,-3,2,1,1,2,-3,2,1,-3,-3,-3
160,0,0,0,-3,-3,300,-3,-3,-3,-3,5,5,5,-3,-3,2,-3,-3,-3,-3,6,-3,-3,-3,-3,8,10,7,-3,-3,2,2,2,-3,-3,1,-3,-3,-3,-3
161,-3,1000,-3,-3,-3,800,400,-3,-3,-3,5,2,-3,-3,-3,4,1,-3,-3,-3,20,20,-3,-3,-3,25,20,-3,-3,-3,2,2,-3,-3,-3,2,1,-3,-3,-3
163,-3,-3,-3,-3,-3,400,200,-3,-3,-3,-3,-3,-3,-3,-3,4,4,-3,-3,-3,15,30,-3,-3,-3,20,-3,-3,-3,-3,2,-3,-3,-3,-3,2,2,-3,-3,-3
165,1200,-3,-3,-3,-3,-3,-3,-3,-3,-3,3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,1,-3,-3,-3,-3,2,-3,-3,-3,-3,-3,-3,-3,-3,-3
166,500,0,-3,-3,-3,500,250,0,-3,-3,4,2,-3,-3,-3,2,2,2,-3,-3,90,4,10,-3,-3,1,30,-3,-3,-3,2,2,-3,-3,-3,1,1,1,-3,-3
167,200,-3,-2,-3,-3,100,-3,-3,-3,-3,2,5,6,-3,-3,2,-3,-3,-3,-3,90,-3,-3,-3,-3,20,25,1,-3,-3,2,2,1,-3,-3,1,-3,-3,-3,-3
168,-3,-3,-3,-3,-3,450,260,160,-3,-3,-3,-3,-3,-3,-3,4,2,2,-3,-3,40,20,4,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,2,1,1,-3,-3
