HH_ID,Gender_1,Gender_2,Gender_3,Gender_4,Gender_5,Gender_6,Gender_7,Gender_8,Gender_9,Age_1,Age_2,Age_3,Age_4,Age_5,Age_6,Age_7,Age_8,Age_9,Education_1,Education_2,Education_3,Education_4,Education_5,Education_6,Education_7,Education_8,Education_9,Marriage_1 ,Marriage_2,Marriage_3,Marriage_4,Marriage_5,Marriage_6,Marriage_7,Marriage_8,Marriage_9,migration_network,Mig_age,Mig_gender,Mig_marriage ,Mig_education, Mig_year,Rice_paddles_mu,Rice_paddles_GTGP_mu,Dry_land_mu,Dry_land_GTGP_mu,Other_business_cash_last_yr,Mig_remittances,Other_labor_cash_last_yr,Social_gift_cash_last_yr,OX_cash_last_yr,Pig_cash_last_yr,Poultry_cash_last_yr,livestock_cash_last_yr,Ranger_yuan,Retirement_cash_last_yr,local_income_off_farm,Bank_loan_cash_last_yr,NonInstitute_loan_cash_last_yr
35,1,2,1,-3,-3,-3,-3,-3,-3,64,58,30,-3,-3,-3,-3,-3,-3,0,0,6,-3,-3,-3,-3,-3,-3,1,1,6,-3,-3,-3,-3,-3,-3,1,23,1,6,6,2,1.8,0,0.8,0.4,0,0,0,0,0,0,0,0,0,960,960,-3,-3
36,1,2,1,2,2,-3,-3,-3,-3,67,63,23,20,1,-3,-3,-3,-3,2,0,7,9,-3,-3,-3,-3,-3,1,1,1,1,-3,-3,-3,-3,-3,1,32,1,1,7,6,3.5,0,10,0,0,2000,0,20000,0,0,0,0,0,1320,21320,-3,18000
39,1,2,1,-3,-3,-3,-3,-3,-3,60,55,17,-3,-3,-3,-3,-3,-3,2,0,9,-3,-3,-3,-3,-3,-3,1,1,6,-3,-3,-3,-3,-3,-3,1,20,2,6,9,1,2,0.25,1.8,0.25,0,0,0,0,4500,1300,0,5800,0,0,5800,-3,45000
40,1,-3,-3,-3,-3,-3,-3,-3,-3,40,-3,-3,-3,-3,-3,-3,-3,-3,5,-3,-3,-3,-3,-3,-3,-3,-3,6,-3,-3,-3,-3,-3,-3,-3,-3,0,-3,-3,-3,-3,-3,0.7,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,-3,-3
41,1,2,1,2,2,1,-3,-3,-3,43,42,22,21,17,15,-3,-3,-3,3,0,6,12,8,8,-3,-3,-3,1,1,1,1,6,6,-3,-3,-3,0,-3,-3,-3,-3,-3,2,0,2,0,4000,0,0,34000,0,0,150,150,0,0,38150,-3,30000
141,1,2,2,1,-3,-3,-3,-3,-3,52,46,83,1,-3,-3,-3,-3,-3,9,5,0,-3,-3,-3,-3,-3,-3,1,1,5,6,-3,-3,-3,-3,-3,1,33,1,6,9,6,1.6,0,1.7,0.5,0,1000,0,0,0,0,0,0,10800,600,11400,30000,30000
42,1,-3,-3,-3,-3,-3,-3,-3,-3,64,-3,-3,-3,-3,-3,-3,-3,-3,1,-3,-3,-3,-3,-3,-3,-3,-3,5,-3,-3,-3,-3,-3,-3,-3,-3,1,23,1,6,0,2,4.2,0,2.8,0,0,0,0,0,0,0,0,0,0,840,840,-3,-3
43,2,1,2,2,1,-3,-3,-3,-3,46,52,75,19,21,-3,-3,-3,-3,8,10,0,12,9,-3,-3,-3,-3,1,1,1,6,6,-3,-3,-3,-3,1,22,2,6,9,2,2,0,2.5,0,0,2000,0,0,0,2500,0,2500,9000,660,12160,-3,25000
45,1,2,1,2,1,1,-3,-3,-3,48,45,23,23,20,2,-3,-3,-3,5,2,9,9,9,-3,-3,-3,-3,1,1,1,1,6,6,-3,-3,-3,1,43,1,1,0,6,1.5,0,0.6,0.5,20000,0,103000,30000,0,0,0,0,0,0,153000,-3,-3
46,1,2,2,1,2,-3,-3,-3,-3,43,80,36,3,1,-3,-3,-3,-3,7,0,0,-3,-3,-3,-3,-3,-3,1,1,1,-3,-3,-3,-3,-3,-3,1,26,1,6,8,4,2,0,0.5,0,0,10000,0,0,0,0,0,0,0,0,0,-3,-3
