with,,without,
52,65,61,88
60,65,61,88
61,65,61,88
63,65,54,88
72,65,61,87
72,65,62,87
74,65,62,87
61,65,64,87
74,65,65,87
73,65,65,87
60,65,65,87
59,65,64,87
61,65,64,87
72,65,64,87
72,65,65,87
71,65,66,87
72,65,66,87
65,65,65,87
65,65,66,87
64,65,67,87
37,65,67,87
53,65,60,87
62,65,70,87
60,65,60,87
57,65,60,87
57,65,42,87
55,65,60,87
54,65,60,87
47,65,49,87
48,65,60,87
50,65,62,87
48,65,62,87
50,65,61,87
49,65,60,87
47,65,65,87
57,65,57,87
55,65,63,87
39,65,60,87
56,65,58,87
55,65,59,87
58,65,60,87
53,65,61,87
53,65,61,87
54,65,61,87
54,65,54,87
55,65,64,87
54,65,64,87
55,65,64,87
54,65,65,87
56,65,65,87
57,65,50,87
57,65,51,87
59,65,62,87
59,65,63,87
60,65,66,87
62,65,66,87
60,65,54,87
61,65,57,87
53,65,65,87
61,65,57,87
61,65,54,87
56,65,54,87
56,65,59,87
56,65,61,87
58,65,63,87
58,65,62,87
58,65,61,87
57,65,60,87
57,65,59,87
50,65,58,87
56,65,57,87
52,65,56,87
40,65,56,87
39,65,57,87
38,65,53,87
37,65,52,87
37,65,55,87
58,65,55,87
56,65,54,87
40,65,55,87
42,65,56,87
37,65,58,87
37,65,59,87
46,65,57,87
40,65,57,87
55,65,57,87
52,65,59,87
48,65,59,87
51,65,63,87
54,65,60,87
58,65,61,87
53,65,62,87
56,65,59,87
57,65,62,87
56,65,62,87
52,65,58,87
52,65,59,87
58,65,58,87
59,65,60,87
60,65,62,87
58,65,63,87
57,65,64,87
56,65,64,87
56,65,64,87
57,65,60,87
57,65,60,87
57,65,59,87
58,65,59,87
58,65,67,87
58,65,65,87
57,65,58,87
59,65,57,87
59,65,68,87
66,65,68,87
51,65,70,87
59,65,71,87
60,65,61,87
58,65,61,87
58,65,60,87
59,65,60,87
60,65,54,87
54,65,66,87
56,65,57,87
60,65,64,87
44,65,54,87
54,65,55,87
58,65,67,87
52,65,67,87
38,65,60,87
40,65,53,87
44,65,52,87
46,65,68,87
49,65,68,87
43,65,67,87
58,65,49,87
58,65,63,87
45,65,63,87
27,65,55,87
27,65,55,87
40,65,55,87
45,65,55,87
28,65,50,87
30,65,56,87
29,65,56,87
31,65,62,87
30,65,61,87
28,65,61,87
27,65,61,87
27,65,61,87
29,65,55,87
32,65,55,87
31,65,51,87
49,65,53,87
56,65,65,87
47,65,64,87
59,65,66,87
60,65,66,87
60,65,65,87
54,65,66,87
67,65,66,87
54,65,63,87
70,65,64,87
45,65,60,87
44,65,61,87
44,65,62,87
54,65,64,87
47,65,67,87
56,65,66,87
57,65,65,87
58,65,55,87
59,65,55,87
59,65,60,87
51,65,53,87
67,65,53,87
56,65,61,87
60,65,53,87
59,65,53,87
52,65,51,87
56,65,54,87
56,65,58,87
45,65,59,87
56,65,60,87
48,65,60,87
49,65,57,87
49,65,58,87
71,65,57,87
72,65,58,87
72,65,58,87
73,65,55,87
74,65,64,87
75,65,65,87
75,65,65,87
60,65,65,87
60,65,56,87
73,65,61,87
71,65,55,87
71,65,54,87
59,65,59,87
56,65,60,87
56,65,62,87
59,65,62,87
58,65,59,87
41,65,59,87
67,65,59,87
66,65,54,87
66,65,53,87
61,65,52,87
61,65,52,87
62,65,60,87
64,65,56,87
48,65,54,87
47,65,63,87
48,65,63,87
49,65,63,87
50,65,63,87
50,65,59,87
71,65,59,87
72,65,60,87
71,65,60,87
71,65,60,87
49,65,58,87
50,65,59,87
51,65,60,87
51,65,59,87
50,65,56,87
72,65,54,87
57,65,55,87
56,65,57,87
55,65,58,87
73,65,58,87
72,65,58,87
72,65,58,87
72,65,58,87
72,65,58,87
71,65,58,87
71,65,58,87
50,65,58,87
52,65,56,87
51,65,56,87
51,65,63,87
58,65,62,87
54,65,62,87
42,65,62,87
58,65,63,87
58,65,63,87
57,65,62,87
61,65,61,87
30,65,60,87
30,65,66,87
57,65,66,87
61,65,52,87
41,65,52,87
41,65,53,87
63,65,52,87
50,65,57,87
49,65,57,87
44,65,55,87
44,65,55,87
58,65,49,87
45,65,48,87
53,65,55,87
27,65,55,87
27,65,53,87
49,65,51,87
46,65,55,87
52,65,55,87
53,65,59,87
53,65,60,87
58,65,55,87
58,65,56,87
59,65,53,87
58,65,52,87
59,65,50,87
60,65,48,87
47,65,48,87
67,65,49,87
62,65,60,87
62,65,60,87
54,65,56,87
57,65,63,87
62,65,57,87
34,65,59,87
54,65,53,87
54,65,51,87
48,65,52,87
57,65,53,87
50,65,56,87
49,65,54,87
48,65,57,87
63,65,58,87
33,65,51,87
62,65,63,87
53,65,68,87
53,65,52,87
48,65,59,87
56,65,63,87
61,65,63,87
60,65,63,87
61,65,63,87
29,65,56,87
44,65,56,87
26,65,52,87
48,65,52,87
53,65,58,87
57,65,59,87
57,65,58,87
56,65,57,87
57,65,67,87
59,65,68,87
58,65,68,87
62,65,53,87
62,65,56,87
42,65,59,87
66,65,57,87
52,65,57,87
63,65,58,87
59,65,58,87
61,65,54,87
49,65,63,87
60,65,63,87
47,65,63,87
65,65,63,87
59,65,63,87
46,65,63,87
57,65,63,87
46,65,63,87
43,65,69,87
43,65,68,87
54,65,57,87
59,65,63,87
59,65,59,87
54,65,59,87
46,65,55,87
44,65,56,87
28,65,53,87
46,65,58,87
45,65,60,87
44,65,55,87
44,65,60,87
32,65,61,86
52,65,67,86
52,65,66,86
