with,,without,
34,65,59,65
34,65,59,65
34,65,50,65
35,65,50,65
35,65,49,65
35,65,48,65
35,65,48,65
35,65,60,65
35,65,60,65
35,65,53,65
35,65,53,65
35,65,53,65
35,65,60,65
35,65,61,65
35,65,61,65
35,65,54,65
35,65,52,65
35,65,52,65
35,65,72,65
35,65,73,65
35,65,53,65
35,65,52,65
35,65,53,65
35,65,52,65
35,65,45,65
35,65,45,65
35,65,48,65
35,65,48,65
35,65,46,65
35,65,63,65
36,65,64,65
36,65,64,65
36,65,46,65
36,65,45,65
36,65,45,65
36,65,46,65
36,65,46,65
36,65,63,65
36,65,62,65
36,65,62,65
36,65,62,65
36,65,63,65
36,65,63,65
36,65,45,65
36,65,45,65
36,65,54,65
36,65,57,65
36,65,60,65
36,65,56,65
36,65,63,65
36,65,57,65
36,65,48,65
36,65,50,65
36,65,61,65
36,65,46,65
36,65,50,65
37,65,53,65
37,65,52,65
37,65,52,65
37,65,50,65
37,65,37,65
37,65,55,65
37,65,36,65
37,65,37,65
37,65,38,65
37,65,39,65
37,65,40,65
37,65,41,65
37,65,42,65
37,65,43,65
37,65,44,65
37,65,45,65
37,65,45,65
37,65,26,65
37,65,55,65
37,65,60,65
37,65,59,65
37,65,59,65
37,65,60,65
37,65,59,65
37,65,57,65
38,65,56,65
38,65,55,65
38,65,55,65
38,65,54,65
38,65,53,65
38,65,53,65
38,65,42,65
38,65,47,65
38,65,55,65
38,65,49,65
38,65,43,65
38,65,64,65
38,65,61,65
38,65,55,65
38,65,59,65
38,65,50,65
38,65,51,65
38,65,42,65
38,65,59,65
38,65,51,65
38,65,51,65
38,65,35,65
38,65,35,65
38,65,35,65
38,65,36,65
38,65,36,65
39,65,36,65
39,65,37,65
39,65,36,65
39,65,36,65
39,65,46,65
39,65,47,65
39,65,37,65
39,65,38,65
39,65,38,65
39,65,37,65
39,65,37,65
39,65,40,65
39,65,38,65
39,65,38,65
39,65,43,65
39,65,54,65
40,65,38,65
40,65,42,65
40,65,41,65
40,65,49,65
40,65,48,65
40,65,47,65
40,65,47,65
40,65,47,65
40,65,39,65
40,65,45,65
40,65,45,65
40,65,37,65
40,65,36,65
40,65,47,65
40,65,47,65
40,65,47,65
40,65,48,65
40,65,47,65
40,65,46,65
40,65,34,65
40,65,32,65
40,65,32,65
40,65,46,65
40,65,46,65
40,65,46,65
41,65,31,65
41,65,45,65
41,65,44,65
41,65,47,65
41,65,47,65
41,65,49,65
41,65,49,65
41,65,48,65
41,65,50,65
41,65,48,65
41,65,50,65
41,65,49,65
41,65,50,65
41,65,50,65
41,65,53,65
41,65,63,65
41,65,63,65
41,65,57,65
41,65,63,65
41,65,56,65
41,65,55,65
42,65,55,65
42,65,41,65
42,65,41,65
42,65,47,65
42,65,30,65
42,65,42,65
42,65,43,65
42,65,44,65
42,65,45,65
42,65,46,65
42,65,47,65
42,65,48,65
42,65,49,65
42,65,50,65
42,65,51,65
42,65,51,65
42,65,48,65
42,65,47,65
43,65,49,65
43,65,38,65
43,65,38,65
43,65,47,65
43,65,48,65
43,65,51,65
43,65,36,65
43,65,57,65
43,65,24,65
43,65,25,65
43,65,28,65
43,65,26,65
43,65,26,65
43,65,26,65
43,65,26,65
43,65,25,65
43,65,25,65
43,65,26,65
43,65,27,65
43,65,27,65
43,65,53,65
43,65,54,65
43,65,54,65
43,65,29,65
43,65,29,65
43,65,53,65
44,65,65,65
44,65,36,65
44,65,52,65
44,65,52,65
44,65,58,65
44,65,55,65
44,65,57,65
44,65,50,65
44,65,48,65
44,65,48,65
44,65,52,65
44,65,41,65
44,65,35,65
44,65,35,65
44,65,63,65
44,65,57,65
44,65,57,65
44,65,54,65
44,65,37,65
44,65,64,65
44,65,37,65
44,65,54,65
44,65,35,65
44,65,45,65
44,65,44,65
44,65,45,65
44,65,45,65
44,65,45,65
44,65,45,65
44,65,50,65
45,65,57,65
45,65,57,65
45,65,54,65
45,65,44,65
45,65,55,65
45,65,66,65
45,65,59,65
45,65,59,65
45,65,58,65
45,65,55,65
45,65,55,65
45,65,59,65
45,65,58,65
45,65,40,65
45,65,51,65
45,65,48,65
45,65,44,65
45,65,47,65
46,65,40,65
46,65,50,65
46,65,35,65
46,65,35,65
46,65,53,65
46,65,39,65
46,65,56,65
46,65,57,65
46,65,57,65
46,65,50,65
46,65,48,65
46,65,52,65
46,65,52,65
46,65,58,65
46,65,57,65
46,65,56,65
46,65,49,65
46,65,49,65
46,65,46,65
46,65,43,65
46,65,48,65
46,65,50,65
46,65,44,65
46,65,46,65
46,65,34,65
47,65,57,65
47,65,49,65
47,65,43,65
47,65,34,65
47,65,42,65
47,65,51,65
47,65,44,65
47,65,49,65
47,65,54,65
47,65,60,65
47,65,59,65
47,65,41,65
47,65,40,65
47,65,42,65
47,65,39,65
47,65,37,65
47,65,36,65
47,65,36,65
47,65,41,65
47,65,41,65
47,65,56,65
48,65,37,65
48,65,36,65
48,65,38,65
48,65,60,65
48,65,38,65
48,65,36,65
48,65,34,65
48,65,34,65
48,65,59,65
48,65,58,65
48,65,57,65
48,65,57,65
48,65,56,65
48,65,55,65
48,65,45,65
48,65,45,65
48,65,44,65
48,65,28,65
48,65,29,65
48,65,30,65
48,65,27,65
48,65,28,65
48,65,30,65
48,65,30,65
48,65,30,65
48,65,30,65
48,65,33,65
48,65,33,65
48,65,32,65
48,65,49,65
48,65,64,65
48,65,62,65
48,65,63,65
49,65,64,65
49,65,61,65
49,65,59,65
49,65,52,65
49,65,55,65
49,65,54,65
49,65,58,65
49,65,54,65
49,65,58,65
49,65,56,65
49,65,48,65
49,65,58,65
49,65,58,65
49,65,47,65
49,65,60,65
49,65,54,65
49,65,39,65
49,65,54,65
49,65,59,65
49,65,57,65
49,65,54,65
49,65,57,65
49,65,58,65
49,65,58,65
49,65,58,65
49,65,48,65
49,65,49,65
49,65,50,65
49,65,40,65
49,65,40,65
49,65,38,65
49,65,49,65
49,65,49,65
49,65,40,65
49,65,41,65
49,65,41,65
49,65,50,65
49,65,49,65
49,65,40,65
49,65,41,65
49,65,41,65
49,65,42,65
49,65,42,65
50,65,41,65
50,65,41,65
50,65,63,65
50,65,61,65
50,65,62,65
50,65,41,65
50,65,40,65
50,65,41,65
50,65,40,65
50,65,40,65
50,65,48,65
50,65,36,65
50,65,36,65
50,65,62,65
50,65,60,65
50,65,61,65
50,65,61,65
50,65,35,65
50,65,36,65
50,65,36,65
50,65,61,65
50,65,60,65
50,65,60,65
50,65,60,65
50,65,36,65
50,65,57,65
50,65,45,65
