with,,maxent,
71,65,68,89
71,65,68,89
50,65,68,89
52,65,69,89
51,65,69,89
51,65,69,89
58,65,69,89
54,65,69,89
42,65,69,89
58,65,69,89
58,65,69,89
57,65,69,89
61,65,69,89
30,65,69,89
30,65,69,89
57,65,69,89
61,65,69,89
41,65,69,89
41,65,69,89
63,65,70,89
50,65,70,89
49,65,70,89
44,65,70,89
44,65,70,89
58,65,70,89
45,65,70,89
53,65,70,89
27,65,70,89
27,65,70,89
49,65,70,89
46,65,71,89
52,65,71,89
53,65,71,89
53,65,71,89
58,65,71,89
58,65,71,89
59,65,71,89
58,65,71,89
59,65,71,89
60,65,71,89
47,65,71,89
67,65,72,89
62,65,72,89
62,65,72,89
54,65,72,89
57,65,72,89
62,65,72,89
34,65,72,89
54,65,72,89
54,65,72,89
48,65,72,89
57,65,72,89
50,65,73,89
49,65,73,89
48,65,73,89
63,65,73,89
33,65,73,89
62,65,73,89
53,65,74,89
53,65,74,89
48,65,74,89
56,65,74,89
61,65,74,89
60,65,74,89
61,65,75,89
29,65,76,89
44,65,76,89
26,65,76,89
48,65,77,89
53,65,53,88
57,65,53,88
57,65,53,88
56,65,53,88
57,65,53,88
59,65,53,88
58,65,53,88
62,65,53,88
62,65,53,88
42,65,53,88
66,65,53,88
52,65,53,88
63,65,53,88
59,65,53,88
61,65,53,88
49,65,53,88
60,65,54,88
47,65,54,88
65,65,54,88
59,65,54,88
46,65,54,88
57,65,54,88
46,65,55,88
43,65,55,88
43,65,55,88
54,65,55,88
59,65,55,88
59,65,55,88
54,65,56,88
46,65,56,88
44,65,56,88
28,65,57,88
46,65,57,88
45,65,57,88
44,65,57,88
44,65,57,88
32,65,57,88
52,65,57,88
52,65,57,88
51,65,57,88
49,65,57,88
45,65,57,88
45,65,57,88
26,65,57,88
44,65,57,88
44,65,57,88
44,65,57,88
45,65,58,88
46,65,58,88
47,65,58,88
30,65,58,88
55,65,58,88
53,65,58,88
53,65,58,88
49,65,58,88
49,65,58,88
54,65,58,88
