without,,maxent,
49,65,66,91
49,65,66,91
46,65,66,91
43,65,66,91
48,65,66,91
50,65,66,91
44,65,66,91
46,65,66,91
34,65,66,91
57,65,66,91
49,65,66,91
43,65,66,91
34,65,66,91
42,65,66,91
51,65,66,91
44,65,66,91
49,65,67,91
54,65,67,91
60,65,67,91
59,65,67,91
41,65,67,91
40,65,67,91
42,65,67,91
39,65,67,91
37,65,67,91
36,65,67,91
36,65,67,91
41,65,68,91
41,65,68,91
56,65,68,91
37,65,68,91
36,65,68,91
38,65,68,91
60,65,68,91
38,65,68,91
36,65,68,91
34,65,68,91
34,65,68,91
59,65,68,91
58,65,68,91
57,65,68,91
57,65,68,91
56,65,68,91
55,65,69,91
45,65,69,91
45,65,69,91
44,65,69,91
28,65,69,91
29,65,69,91
30,65,69,91
27,65,69,91
28,65,69,91
30,65,69,91
30,65,69,91
30,65,69,91
30,65,69,91
33,65,69,91
33,65,69,91
32,65,69,91
49,65,70,91
64,65,70,91
62,65,70,91
63,65,70,91
64,65,70,91
61,65,70,91
59,65,71,91
52,65,71,91
55,65,71,91
54,65,71,91
58,65,71,91
54,65,71,91
58,65,72,91
56,65,72,91
48,65,72,91
58,65,72,91
58,65,72,91
47,65,72,91
60,65,73,91
54,65,73,91
39,65,73,91
54,65,74,91
59,65,74,91
57,65,74,91
54,65,53,90
57,65,53,90
58,65,53,90
58,65,53,90
58,65,53,90
48,65,53,90
49,65,53,90
50,65,53,90
40,65,53,90
40,65,53,90
38,65,53,90
49,65,54,90
49,65,54,90
40,65,54,90
41,65,54,90
41,65,54,90
50,65,54,90
49,65,55,90
40,65,56,90
41,65,57,90
41,65,57,90
42,65,57,90
42,65,58,90
41,65,58,90
41,65,58,90
63,65,58,90
61,65,58,90
62,65,58,90
41,65,59,90
40,65,59,90
41,65,59,90
40,65,59,90
40,65,59,90
48,65,59,90
36,65,59,90
36,65,59,90
62,65,59,90
60,65,59,90
61,65,59,90
61,65,60,90
35,65,60,90
36,65,60,90
36,65,60,90
61,65,60,90
60,65,60,90
60,65,60,90
60,65,60,90
36,65,60,90
57,65,60,90
45,65,60,90
51,65,61,90
54,65,61,90
54,65,61,90
58,65,61,90
55,65,61,90
48,65,61,90
55,65,62,90
48,65,62,90
54,65,62,90
51,65,63,90
55,65,63,90
47,65,63,90
56,65,64,90
56,65,64,90
48,65,64,90
64,65,64,90
64,65,64,90
55,65,64,90
55,65,64,90
51,65,64,90
37,65,64,90
37,65,64,90
55,65,64,90
52,65,64,90
52,65,64,90
53,65,64,90
57,65,64,90
55,65,64,90
57,65,65,90
57,65,65,90
29,65,65,90
30,65,65,90
31,65,65,90
58,65,65,90
57,65,65,90
58,65,65,90
31,65,65,90
31,65,65,90
32,65,65,90
32,65,65,90
58,65,65,90
58,65,65,90
